strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
Uniform,code,Mid-10Gbps,4096,889.10,11.50,1512.60,429.50,0.2500,1.0000,75.0,59.2
PD-Aware,code,Mid-10Gbps,4096,589.80,11.50,1213.30,130.20,0.0758,0.9979,92.4,72.9
Task-Aware,code,Mid-10Gbps,4096,571.42,11.50,1194.92,111.82,0.0651,0.9947,93.5,73.8
PD-Task-Aware,code,Mid-10Gbps,4096,588.06,11.50,1211.56,128.46,0.0748,0.9970,92.5,73.0
QCBM,code,Mid-10Gbps,4096,487.97,11.50,1111.47,28.37,0.0165,0.9892,98.3,77.6
None,code,Mid-10Gbps,8192,4305.17,11.50,5543.67,3435.97,1.0000,1.0000,0.0,0.0
Uniform,code,Mid-10Gbps,8192,1728.19,11.50,2966.69,858.99,0.2500,1.0000,75.0,59.9
PD-Aware,code,Mid-10Gbps,8192,1129.60,11.50,2368.10,260.40,0.0758,0.9979,92.4,73.8
Task-Aware,code,Mid-10Gbps,8192,1092.84,11.50,2331.34,223.64,0.0651,0.9947,93.5,74.6
PD-Task-Aware,code,Mid-10Gbps,8192,1126.12,11.50,2364.62,256.92,0.0748,0.9970,92.5,73.8
QCBM,code,Mid-10Gbps,8192,925.94,11.50,2164.44,56.74,0.0165,0.9892,98.3,78.5
None,code,High-100Gbps,1024,195.35,11.50,358.35,42.95,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,1024,163.14,11.50,326.14,10.74,0.2500,1.0000,75.0,16.5
PD-Aware,code,High-100Gbps,1024,155.66,11.50,318.65,3.25,0.0758,0.9979,92.4,20.3
Task-Aware,code,High-100Gbps,1024,155.20,11.50,318.20,2.80,0.0651,0.9947,93.5,20.6
PD-Task-Aware,code,High-100Gbps,1024,155.61,11.50,318.61,3.21,0.0748,0.9970,92.5,20.3
QCBM,code,High-100Gbps,1024,153.11,11.50,316.11,0.71,0.0165,0.9892,98.3,21.6
None,code,High-100Gbps,4096,631.40,11.50,1254.90,171.80,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,4096,502.55,11.50,1126.05,42.95,0.2500,1.0000,75.0,20.4
PD-Aware,code,High-100Gbps,4096,472.62,11.50,1096.12,13.02,0.0758,0.9979,92.4,25.1
Task-Aware,code,High-100Gbps,4096,470.78,11.50,1094.28,11.18,0.0651,0.9947,93.5,25.4
PD-Task-Aware,code,High-100Gbps,4096,472.45,11.50,1095.95,12.85,0.0748,0.9970,92.5,25.2
QCBM,code,High-100Gbps,4096,462.44,11.50,1085.94,2.84,0.0165,0.9892,98.3,26.8
None,code,High-100Gbps,8192,1212.80,11.50,2451.30,343.60,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,8192,955.10,11.50,2193.60,85.90,0.2500,1.0000,75.0,21.3
PD-Aware,code,High-100Gbps,8192,895.24,11.50,2133.74,26.04,0.0758,0.9979,92.4,26.2
Task-Aware,code,High-100Gbps,8192,891.56,11.50,2130.06,22.36,0.0651,0.9947,93.5,26.5
PD-Task-Aware,code,High-100Gbps,8192,894.89,11.50,2133.39,25.69,0.0748,0.9970,92.5,26.2
QCBM,code,High-100Gbps,8192,874.87,11.50,2113.37,5.67,0.0165,0.9892,98.3,27.9
None,qa,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,1024,1226.14,11.50,1389.14,1073.74,0.2500,1.0000,75.0,72.4
PD-Aware,qa,Low-1Gbps,1024,477.90,11.50,640.90,325.50,0.0758,0.8966,92.4,89.3
Task-Aware,qa,Low-1Gbps,1024,1521.42,11.50,1684.42,1369.02,0.3188,0.9011,68.1,65.8
PD-Task-Aware,qa,Low-1Gbps,1024,489.66,11.50,652.66,337.26,0.0785,0.8916,92.2,89.0
QCBM,qa,Low-1Gbps,1024,240.18,11.50,403.18,87.78,0.0204,0.8611,98.0,94.6
None,qa,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,4096,4754.57,11.50,5378.07,4294.97,0.2500,1.0000,75.0,73.0
PD-Aware,qa,Low-1Gbps,4096,1761.62,11.50,2385.12,1302.02,0.0758,0.8966,92.4,90.0
Task-Aware,qa,Low-1Gbps,4096,5935.68,11.50,6559.18,5476.08,0.3188,0.9011,68.1,66.3
PD-Task-Aware,qa,Low-1Gbps,4096,1808.65,11.50,2432.15,1349.05,0.0785,0.8916,92.2,89.8
QCBM,qa,Low-1Gbps,4096,810.71,11.50,1434.21,351.11,0.0204,0.8611,98.0,95.4
None,qa,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,8192,9459.13,11.50,10697.63,8589.93,0.2500,1.0000,75.0,73.2
PD-Aware,qa,Low-1Gbps,8192,3473.24,11.50,4711.74,2604.04,0.0758,0.8966,92.4,90.1
Task-Aware,qa,Low-1Gbps,8192,11821.37,11.50,13059.87,10952.17,0.3188,0.9011,68.1,66.4
PD-Task-Aware,qa,Low-1Gbps,8192,3567.30,11.50,4805.80,2698.10,0.0785,0.8916,92.2,89.9
QCBM,qa,Low-1Gbps,8192,1571.43,11.50,2809.93,702.23,0.0204,0.8611,98.0,95.5
None,qa,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,1024,259.77,11.50,422.77,107.37,0.2500,1.0000,75.0,55.4
PD-Aware,qa,Mid-10Gbps,1024,184.95,11.50,347.95,32.55,0.0758,0.8966,92.4,68.2
Task-Aware,qa,Mid-10Gbps,1024,289.30,11.50,452.30,136.90,0.3188,0.9011,68.1,50.3
PD-Task-Aware,qa,Mid-10Gbps,1024,186.13,11.50,349.13,33.73,0.0785,0.8916,92.2,68.0
QCBM,qa,Mid-10Gbps,1024,161.18,11.50,324.18,8.78,0.0204,0.8611,98.0,72.3
None,qa,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,4096,889.10,11.50,1512.60,429.50,0.2500,1.0000,75.0,59.2
PD-Aware,qa,Mid-10Gbps,4096,589.80,11.50,1213.30,130.20,0.0758,0.8966,92.4,72.9
Task-Aware,qa,Mid-10Gbps,4096,1007.21,11.50,1630.71,547.61,0.3188,0.9011,68.1,53.8
PD-Task-Aware,qa,Mid-10Gbps,4096,594.50,11.50,1218.00,134.90,0.0785,0.8916,92.2,72.7
QCBM,qa,Mid-10Gbps,4096,494.71,11.50,1118.21,35.11,0.0204,0.8611,98.0,77.3
None,qa,Mid-10Gbps,8192,4305.17,11.50,5543.67,3435.97,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,8192,1728.19,11.50,2966.69,858.99,0.2500,1.0000,75.0,59.9
PD-Aware,qa,Mid-10Gbps,8192,1129.60,11.50,2368.10,260.40,0.0758,0.8966,92.4,73.8
Task-Aware,qa,Mid-10Gbps,8192,1964.42,11.50,3202.92,1095.22,0.3188,0.9011,68.1,54.4
PD-Task-Aware,qa,Mid-10Gbps,8192,1139.01,11.50,2377.51,269.81,0.0785,0.8916,92.2,73.5
QCBM,qa,Mid-10Gbps,8192,939.42,11.50,2177.92,70.22,0.0204,0.8611,98.0,78.2
None,qa,High-100Gbps,1024,195.35,11.50,358.35,42.95,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,1024,163.14,11.50,326.14,10.74,0.2500,1.0000,75.0,16.5
PD-Aware,qa,High-100Gbps,1024,155.66,11.50,318.65,3.25,0.0758,0.8966,92.4,20.3
Task-Aware,qa,High-100Gbps,1024,166.09,11.50,329.09,13.69,0.3188,0.9011,68.1,15.0
PD-Task-Aware,qa,High-100Gbps,1024,155.77,11.50,318.77,3.37,0.0785,0.8916,92.2,20.3
QCBM,qa,High-100Gbps,1024,153.28,11.50,316.28,0.88,0.0204,0.8611,98.0,21.5
None,qa,High-100Gbps,4096,631.40,11.50,1254.90,171.80,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,4096,502.55,11.50,1126.05,42.95,0.2500,1.0000,75.0,20.4
PD-Aware,qa,High-100Gbps,4096,472.62,11.50,1096.12,13.02,0.0758,0.8966,92.4,25.1
Task-Aware,qa,High-100Gbps,4096,514.36,11.50,1137.86,54.76,0.3188,0.9011,68.1,18.5
PD-Task-Aware,qa,High-100Gbps,4096,473.09,11.50,1096.59,13.49,0.0785,0.8916,92.2,25.1
QCBM,qa,High-100Gbps,4096,463.11,11.50,1086.61,3.51,0.0204,0.8611,98.0,26.6
None,qa,High-100Gbps,8192,1212.80,11.50,2451.30,343.60,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,8192,955.10,11.50,2193.60,85.90,0.2500,1.0000,75.0,21.3
PD-Aware,qa,High-100Gbps,8192,895.24,11.50,2133.74,26.04,0.0758,0.8966,92.4,26.2
Task-Aware,qa,High-100Gbps,8192,978.72,11.50,2217.22,109.52,0.3188,0.9011,68.1,19.3
PD-Task-Aware,qa,High-100Gbps,8192,896.18,11.50,2134.68,26.98,0.0785,0.8916,92.2,26.1
QCBM,qa,High-100Gbps,8192,876.22,11.50,2114.72,7.02,0.0204,0.8611,98.0,27.8
None,conversation,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,1024,1226.14,11.50,1389.14,1073.74,0.2500,1.0000,75.0,72.4
PD-Aware,conversation,Low-1Gbps,1024,477.90,11.50,640.90,325.50,0.0758,0.9254,92.4,89.3
Task-Aware,conversation,Low-1Gbps,1024,803.41,11.50,966.41,651.01,0.1516,0.9337,84.8,81.9
PD-Task-Aware,conversation,Low-1Gbps,1024,474.63,11.50,637.63,322.23,0.0750,0.9219,92.5,89.3
QCBM,conversation,Low-1Gbps,1024,229.82,11.50,392.82,77.42,0.0180,0.8936,98.2,94.8
None,conversation,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,4096,4754.57,11.50,5378.07,4294.97,0.2500,1.0000,75.0,73.0
PD-Aware,conversation,Low-1Gbps,4096,1761.62,11.50,2385.12,1302.02,0.0758,0.9254,92.4,90.0
Task-Aware,conversation,Low-1Gbps,4096,3063.64,11.50,3687.14,2604.04,0.1516,0.9337,84.8,82.6
PD-Task-Aware,conversation,Low-1Gbps,4096,1748.52,11.50,2372.02,1288.92,0.0750,0.9219,92.5,90.1
QCBM,conversation,Low-1Gbps,4096,769.27,11.50,1392.77,309.67,0.0180,0.8936,98.2,95.6
None,conversation,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,8192,9459.13,11.50,10697.63,8589.93,0.2500,1.0000,75.0,73.2
PD-Aware,conversation,Low-1Gbps,8192,3473.24,11.50,4711.74,2604.04,0.0758,0.9254,92.4,90.1
Task-Aware,conversation,Low-1Gbps,8192,6077.28,11.50,7315.78,5208.08,0.1516,0.9337,84.8,82.8
PD-Task-Aware,conversation,Low-1Gbps,8192,3447.04,11.50,4685.54,2577.84,0.0750,0.9219,92.5,90.2
QCBM,conversation,Low-1Gbps,8192,1488.53,11.50,2727.03,619.33,0.0180,0.8936,98.2,95.8
None,conversation,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,1024,259.77,11.50,422.77,107.37,0.2500,1.0000,75.0,55.4
PD-Aware,conversation,Mid-10Gbps,1024,184.95,11.50,347.95,32.55,0.0758,0.9254,92.4,68.2
Task-Aware,conversation,Mid-10Gbps,1024,217.50,11.50,380.50,65.10,0.1516,0.9337,84.8,62.6
PD-Task-Aware,conversation,Mid-10Gbps,1024,184.62,11.50,347.62,32.22,0.0750,0.9219,92.5,68.3
QCBM,conversation,Mid-10Gbps,1024,160.14,11.50,323.14,7.74,0.0180,0.8936,98.2,72.5
None,conversation,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,4096,889.10,11.50,1512.60,429.50,0.2500,1.0000,75.0,59.2
PD-Aware,conversation,Mid-10Gbps,4096,589.80,11.50,1213.30,130.20,0.0758,0.9254,92.4,72.9
Task-Aware,conversation,Mid-10Gbps,4096,720.00,11.50,1343.50,260.40,0.1516,0.9337,84.8,66.9
PD-Task-Aware,conversation,Mid-10Gbps,4096,588.49,11.50,1211.99,128.89,0.0750,0.9219,92.5,73.0
QCBM,conversation,Mid-10Gbps,4096,490.57,11.50,1114.07,30.97,0.0180,0.8936,98.2,77.5
None,conversation,Mid-10Gbps,8192,4305.17,11.50,5543.67,3435.97,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,8192,1728.19,11.50,2966.69,858.99,0.2500,1.0000,75.0,59.9
PD-Aware,conversation,Mid-10Gbps,8192,1129.60,11.50,2368.10,260.40,0.0758,0.9254,92.4,73.8
Task-Aware,conversation,Mid-10Gbps,8192,1390.01,11.50,2628.51,520.81,0.1516,0.9337,84.8,67.7
PD-Task-Aware,conversation,Mid-10Gbps,8192,1126.98,11.50,2365.48,257.78,0.0750,0.9219,92.5,73.8
QCBM,conversation,Mid-10Gbps,8192,931.13,11.50,2169.63,61.93,0.0180,0.8936,98.2,78.4
None,conversation,High-100Gbps,1024,195.35,11.50,358.35,42.95,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,1024,163.14,11.50,326.14,10.74,0.2500,1.0000,75.0,16.5
PD-Aware,conversation,High-100Gbps,1024,155.66,11.50,318.65,3.25,0.0758,0.9254,92.4,20.3
Task-Aware,conversation,High-100Gbps,1024,158.91,11.50,321.91,6.51,0.1516,0.9337,84.8,18.6
PD-Task-Aware,conversation,High-100Gbps,1024,155.62,11.50,318.62,3.22,0.0750,0.9219,92.5,20.3
QCBM,conversation,High-100Gbps,1024,153.17,11.50,316.17,0.77,0.0180,0.8936,98.2,21.6
None,conversation,High-100Gbps,4096,631.40,11.50,1254.90,171.80,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,4096,502.55,11.50,1126.05,42.95,0.2500,1.0000,75.0,20.4
PD-Aware,conversation,High-100Gbps,4096,472.62,11.50,1096.12,13.02,0.0758,0.9254,92.4,25.1
Task-Aware,conversation,High-100Gbps,4096,485.64,11.50,1109.14,26.04,0.1516,0.9337,84.8,23.1
PD-Task-Aware,conversation,High-100Gbps,4096,472.49,11.50,1095.99,12.89,0.0750,0.9219,92.5,25.2
QCBM,conversation,High-100Gbps,4096,462.70,11.50,1086.20,3.10,0.0180,0.8936,98.2,26.7
None,conversation,High-100Gbps,8192,1212.80,11.50,2451.30,343.60,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,8192,955.10,11.50,2193.60,85.90,0.2500,1.0000,75.0,21.3
PD-Aware,conversation,High-100Gbps,8192,895.24,11.50,2133.74,26.04,0.0758,0.9254,92.4,26.2
Task-Aware,conversation,High-100Gbps,8192,921.28,11.50,2159.78,52.08,0.1516,0.9337,84.8,24.0
PD-Task-Aware,conversation,High-100Gbps,8192,894.98,11.50,2133.48,25.78,0.0750,0.9219,92.5,26.2
QCBM,conversation,High-100Gbps,8192,875.39,11.50,2113.89,6.19,0.0180,0.8936,98.2,27.8
